Event 1
event: Electric vehicle battery
event_id: ev1
description: A rechargeable battery detailed 2-3 sentence explanation of the event, set the value of this level to 'xxxx' if this level is empty!!!
participants: xxxx
Gate: or
Relations: xxxx

Subevent 1.1
subevent: xxxx
event_id: ev1.1
description: xxxx
participants: xxxx
Gate: and
Relations: xxxx

Subevent 1.2
subevent: xxxx
event_id: ev1.2
description: xxxx
participants: xxxx
Gate: and
Relations: xxxx

Subevent 1.3
subevent: xxxx
event_id: ev1.3
description: xxxx
participants: xxxx
Gate: and
Relations: xxxx
